ID	Precision	Recall	F1
1	0	0	0
2	0	0	0
3	0	0	0
4	1.0	1.0	1.0
5	0	0	0
6	0	0	0
7	1.0	1.0	1.0
8	0.04568528	1.0	0.08737864
9	0	0	0
10	1.0	1.0	1.0
11	0	0	0
12	0.024390243	1.0	0.04761905
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	0	0
38	1.0	1.0	1.0
39	0.96153843	1.0	0.98039216
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0.26865673	1.0	0.42352942
47	0.0875	1.0	0.16091955
48	1.0	1.0	1.0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	1.0	1.0	1.0
66	1.0	1.0	1.0
67	0	0	0
68	0	0	0
69	0.021590631	1.0	0.042268656
70	0.20754717	1.0	0.34375
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
81	0	0	0
82	0.0034234852	0.5555556	0.0068050358
83	1.0	1.0	1.0
84	0	0	0
85	0	0	0
86	5.467468E-4	1.0	0.0010928962
87	0	0	0
88	1.0	1.0	1.0
89	1.0	1.0	1.0
90	0	0	0
91	0	0	0
92	1.0	1.0	1.0
93	1.0	1.0	1.0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0.04278075	0.6666667	0.08040201
101	0	0	0
102	0	0	0
103	0	0	0
104	1.0	1.0	1.0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
