id	QuestionType	AnswerResourceType	WhType	token	Limit	Comparative	Superlative	Person	Location	Organization	Misc	LWL	Vote	M5Rules	DecisionStump	Stacking	MultiScheme	GaussianProcesses	M5P	ZeroR	CVParameterSelection	AdditiveRegression	SimpleLinearRegression	MultilayerPerceptron	DecisionTable	IBk	KStar	REPTree	RandomSubSpace	RegressionByDiscretization	SMOreg	LinearRegression	Bagging
1	1	0	0	0	0	0	0	0	0	0	0	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	null	0.43606739754892593	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6863416825587879	0.6863416825587879	0.6863416825587879
2	0	1	0	0	0	0	0	0	0	0	0	0.6446750158921212	0.6446750158921212	0.6655083492254545	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6655083492254545	0.6446750158921212	0.6446750158921212	0.6655083492254545	null	0.4980465642155926	0.5925916825587879	0.6446750158921212	0.6446750158921212	0.5925916825587879	0.5925916825587879	0.6446750158921212	0.6863416825587879	0.6863416825587879	0.6446750158921212
3	1	1	0	0	0	0	0	0	0	0	0	0.6446750158921212	0.6446750158921212	0.6863416825587879	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6863416825587879	0.6446750158921212	0.6446750158921212	0.6863416825587879	null	0.5032824720324721	0.6134250158921212	0.6280083492254546	0.6446750158921212	0.5925916825587879	0.6446750158921212	0.6446750158921212	0.6238416825587879	0.6863416825587879	0.6446750158921212
4	0	0	1	0	0	0	0	0	0	0	0	0.6030083492254545	0.6446750158921212	0.5821750158921212	0.6030083492254545	0.6446750158921212	0.6446750158921212	0.6030083492254545	0.5821750158921212	0.6446750158921212	0.6446750158921212	0.6030083492254545	null	0.3638746691061974	0.6030083492254545	0.6030083492254545	0.6446750158921212	0.6238416825587879	0.6238416825587879	0.6446750158921212	0.5821750158921212	0.6030083492254545	0.6238416825587879
5	1	0	1	0	0	0	0	0	0	0	0	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6863416825587879	null	0.42081079185786896	0.6238416825587879	0.6030083492254545	0.6446750158921212	0.6446750158921212	0.6655083492254545	0.6446750158921212	0.6655083492254545	0.6863416825587879	0.6446750158921212
6	0	1	1	0	0	0	0	0	0	0	0	0.6446750158921212	0.6446750158921212	0.6238416825587879	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6238416825587879	0.6446750158921212	0.6446750158921212	0.6446750158921212	null	0.3472904672423904	0.5749810880251164	0.5643178730349784	0.6446750158921212	0.5955678730349784	0.6655083492254545	0.6446750158921212	0.6759250158921213	0.6238416825587879	0.6238416825587879
7	1	1	1	0	0	0	0	0	0	0	0	0.6446750158921212	0.6446750158921212	0.6342583492254545	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6238416825587879	0.6342583492254545	0.6446750158921212	0.6446750158921212	0.6655083492254545	null	0.38506581494386377	0.5539012063683116	0.6030083492254545	0.6238416825587879	0.5955678730349784	0.6446750158921212	0.6446750158921212	0.5925916825587879	0.5925916825587879	0.6238416825587879
8	0	0	0	1	0	0	0	0	0	0	0	0.6030083492254545	0.6446750158921212	0.6446750158921212	0.6238416825587879	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.5821750158921212	0.6446750158921212	0.30866270627228337	0.6446750158921212	0.5161006694868924	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212
9	1	0	0	1	0	0	0	0	0	0	0	0.6446750158921212	0.6446750158921212	0.6863416825587879	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6863416825587879	0.6446750158921212	0.6446750158921212	0.6655083492254545	null	0.5026567416198876	0.6446750158921212	0.567687971074194	0.6254756694868925	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6655083492254545	0.6863416825587879	0.6863416825587879
10	0	1	0	1	0	0	0	0	0	0	0	0.605984539701645	0.6446750158921212	0.6863416825587879	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6446750158921212	0.6863416825587879	0.6446750158921212	0.6446750158921212	0.6655083492254545	null	0.4452072961119014	0.5315677284427285	0.5821750158921212	0.6446750158921212	0.5925916825587879	0.6446750158921212	0.6446750158921212	0.6238416825587879	0.6863416825587879	0.6446750158921212
