ID	Precision	Recall	F1
1	0	0	0
2	0	0	0
3	1.0	1.0	1.0
4	1.0	1.0	1.0
5	0	0	0
6	0	0	0
7	1.0	1.0	1.0
8	0	0	0
9	0	0	0
10	1.0	1.0	1.0
11	1.0	1.0	1.0
12	0	0	0
13	1.0	1.0	1.0
14	1.0	1.0	1.0
15	1.0	1.0	1.0
16	0	0	0
17	1.0	1.0	1.0
18	1.0	1.0	1.0
19	1.0	1.0	1.0
20	0	0	0
21	1.0	1.0	1.0
22	0	0	0
23	1.0	1.0	1.0
24	1.0	0.6666667	0.8
25	1.0	1.0	1.0
26	1.0	1.0	1.0
27	0	0	0
28	1.0	1.0	1.0
29	1.0	1.0	1.0
30	0	0	0
31	0	0	0
32	1.0	1.0	1.0
33	1.0	1.0	1.0
34	1.0	1.0	1.0
35	1.0	1.0	1.0
36	0	0	0
37	1.0	1.0	1.0
38	0.023809524	1.0	0.046511628
39	0.0041841003	1.0	0.008333333
40	0	0	0
41	1.0	1.0	1.0
42	1.0	1.0	1.0
43	1.0	1.0	1.0
44	1.0	1.0	1.0
45	1.0	1.0	1.0
46	1.0	1.0	1.0
47	1.0	1.0	1.0
48	0	0	0
49	1.0	1.0	1.0
50	0	0	0
51	0	0	0
52	1.0	1.0	1.0
53	0	0	0
54	0	0	0
55	1.0	1.0	1.0
56	1.0	1.0	1.0
57	1.0	1.0	1.0
58	0	0	0
59	0	0	0
60	1.0	1.0	1.0
61	1.0	0.5	0.6666667
62	1.0	1.0	1.0
63	1.0	1.0	1.0
64	1.0	1.0	1.0
65	0.033333335	1.0	0.064516135
66	1.0	1.0	1.0
67	0	0	0
68	1.0	1.0	1.0
69	0	0	0
70	0	0	0
71	1.0	1.0	1.0
72	0.04761905	1.0	0.090909086
73	1.0	1.0	1.0
74	1.0	1.0	1.0
75	0	0	0
76	1.0	1.0	1.0
77	1.0	1.0	1.0
78	1.0	1.0	1.0
79	1.0	1.0	1.0
80	1.0	1.0	1.0
81	1.0	1.0	1.0
82	0	0	0
83	0.25	1.0	0.4
84	1.0	1.0	1.0
85	1.0	1.0	1.0
86	0	0	0
87	1.0	1.0	1.0
88	0	0	0
89	0	0	0
90	0	0	0
91	1.0	1.0	1.0
92	1.0	1.0	1.0
93	0	0	0
94	0	0	0
95	1.0	1.0	1.0
96	1.0	1.0	1.0
97	0	0	0
98	0	0	0
99	0.0012330456	1.0	0.002463054
100	1.0	1.0	1.0
101	0	0	0
102	0	0	0
103	1.0	1.0	1.0
104	0	0	0
105	1.0	1.0	1.0
106	1.0	1.0	1.0
107	1.0	1.0	1.0
108	1.0	1.0	1.0
109	0	0	0
110	0.5	1.0	0.6666667
111	0.5	1.0	0.6666667
112	0	0	0
113	0	0	0
114	0	0	0
115	0	0	0
116	1.0	1.0	1.0
117	0	0	0
118	1.0	1.0	1.0
119	1.0	1.0	1.0
120	0	0	0
121	1.0	1.0	1.0
122	1.0	1.0	1.0
123	1.0	1.0	1.0
124	1.0	1.0	1.0
125	0	0	0
126	1.0	1.0	1.0
127	0	0	0
128	1.0	1.0	1.0
129	1.0	1.0	1.0
130	1.0	1.0	1.0
131	1.0	1.0	1.0
132	1.0	1.0	1.0
133	1.0	1.0	1.0
134	1.0	1.0	1.0
135	0	0	0
136	0	0	0
137	1.0	1.0	1.0
138	1.0	1.0	1.0
139	1.0	1.0	1.0
140	1.0	1.0	1.0
141	1.0	1.0	1.0
142	1.0	1.0	1.0
143	1.0	1.0	1.0
144	0	0	0
145	0.5	1.0	0.6666667
146	1.0	1.0	1.0
147	1.0	1.0	1.0
148	1.0	1.0	1.0
149	0	0	0
150	0	0	0
151	1.0	1.0	1.0
152	1.0	1.0	1.0
153	0	0	0
154	0	0	0
155	0	0	0
156	1.0	1.0	1.0
157	1.0	1.0	1.0
158	0	0	0
159	1.0	1.0	1.0
160	0	0	0
161	1.0	1.0	1.0
162	0	0	0
163	0	0	0
164	0.06666667	1.0	0.125
165	0.2857143	0.6666667	0.4
166	1.0	1.0	1.0
167	1.0	1.0	1.0
168	0	0	0
169	1.0	1.0	1.0
170	0	0	0
171	0	0	0
172	1.0	1.0	1.0
173	1.0	1.0	1.0
174	1.0	1.0	1.0
175	0	0	0
176	0.0058479533	1.0	0.011627907
177	0	0	0
178	0	0	0
179	0	0	0
180	0	0	0
181	0	0	0
182	0	0	0
183	0	0	0
184	0	0	0
185	0.15068494	1.0	0.26190478
186	1.0	1.0	1.0
187	0	0	0
188	0	0	0
189	0	0	0
190	0	0	0
191	1.0	1.0	1.0
192	1.0	1.0	1.0
193	1.0	1.0	1.0
194	1.0	1.0	1.0
195	0	0	0
196	0	0	0
197	0	0	0
198	1.0	1.0	1.0
199	0	0	0
200	0	0	0
201	1.0	0.5	0.6666667
202	1.0	1.0	1.0
203	1.0	1.0	1.0
204	0	0	0
205	0	0	0
206	0	0	0
207	0.04761905	1.0	0.090909086
208	1.0	1.0	1.0
209	1.0	1.0	1.0
210	1.0	1.0	1.0
211	0	0	0
212	0	0	0
213	0	0	0
214	0	0	0
215	1.0	1.0	1.0
216	1.0	1.0	1.0
217	0	0	0
218	1.0	1.0	1.0
219	1.0	1.0	1.0
