class,property,score
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationMetroDensity,0.000445836
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationRural,0.000549021
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationTotalRanking,0.004440836
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationUrban,0.006280639
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/populationUrbanDensity,0.000323182
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/principalArea,0.003743853
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/regionalLanguage,7.20E-05
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/saint,0.00360173
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/sheading,5.65E-05
http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/unitaryAuthority,0.000673621
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Work/runtime,0.518995303
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/author,0.107771081
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/basedOn,0.006936521
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/chiefEditor,0.000346725
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/completionDate,0.041086943
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/composer,0.023819219
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/coverArtist,0.007825509
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/dcc,0.011167779
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/fileSize,0.001340537
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/filename,0.02186385
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/license,0.017578164
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/musicComposer,0.117955127
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/narrator,0.009010825
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/originalLanguage,0.000909146
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/previousWork,0.31351019
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/producer,0.359802044
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/publisher,0.114405225
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/releaseLocation,1.61E-05
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/runtime,0.518995303
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/starring,0.230729534
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/subsequentWork,0.316203358
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/translator,0.002029955
http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/writer,0.249841756
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/administrativeCollectivity,0.000515759
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/administrativeDistrict,0.000407178
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/associationOfLocalGovernment,0.001186037
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/canton,0.01837939
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/day,6.47E-05
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/distanceToBelfast,0.000221338
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/distanceToCardiff,0.00073292
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/distanceToCharingCross,0.000348711
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/distanceToDouglas,1.67E-05
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/distanceToDublin,1.04E-05
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/distanceToEdinburgh,0.000290245
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/distanceToLondon,0.006329008
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/federalState,0.009644899
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/frazioni,0.001595303
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/inseeCode,0.077428556
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/isoCodeRegion,0.015648165
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/jointCommunity,0.000283981
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/twinTown,0.000785123
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/club,0.009998864
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/debutTeam,0.068407302
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/draftTeam,0.028464486
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/espnId,0.000495926
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/formerTeam,0.093461258
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/managerClub,8.31E-06
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/nationalTeam,0.01281927
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/sportCountry,0.00046545
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/supplementalDraftRound,0.000157921
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/trainer,0.005973275
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/wins,0.002920145
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/worldChampionTitleYear,0.000241037
http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber,0.711349531
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/binomial,0.00143742
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/binomialAuthority,0.355947652
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/conservationStatus,0.157649034
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/conservationStatusSystem,0.154225361
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/domain,0.012240938
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/family,0.944845543
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/genus,0.719405823
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/kingdom,0.965557458
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/order,0.885039072
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/phylum,0.757889476
http://dbpedia.org/ontology/Species,http://dbpedia.org/ontology/species,0.007928678
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/affiliation,0.040288744
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/ceo,0.000328118
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/chairperson,0.000942468
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/childOrganisation,0.001427664
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/endowment,0.006674067
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/formationDate,0.032385979
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/formationYear,0.070245251
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/foundationPlace,0.029139702
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/headquarter,0.076863468
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/leaderFunction,0.029237439
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/legalForm,0.001214736
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/locationCity,0.072842273
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/mainOrgan,0.000575952
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/membership,0.011515558
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfEmployees,0.07299237
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfLocations,0.010716206
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStaff,0.002740137
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfVolunteers,0.001389267
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/parentOrganisation,0.010838377
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/president,0.009169861
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/product,0.073376338
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/regionServed,0.032759475
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/revenue,0.032742022
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/secretaryGeneral,0.000851712
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/superintendent,0.000136134
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/trustee,5.93E-05
http://dbpedia.org/ontology/Animal,http://dbpedia.org/ontology/breeder,0.008032621
